Name,Code,Easting,Northing,Elevation,Descriptio,Longitude,Latitude,Ellipsoida,Origin,Easting RM,Northing R,Elevatio_1,Lateral RM,Antenna he,Antenna _1,Solution s,Averaging,Averagin_1,Samples,PDOP,GDOP,Base easti,Base north,Base eleva,Base longi,Base latit,Base ellip,Baseline,Mount poin,CS name,GPS Satell,GLONASS Sa,Galileo Sa,BeiDou Sat,QZSS Satel,Linename
H005,,,,,,16.870051839999999,47.769359540000004,161.025000000000006,Global,0.014000000000000,0.011000000000000,0.022000000000000,0.018000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.300000000000000,1.500000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,147.496000000000009,,Global CS,13,8,0,false,true,s1
H007,,,,,,16.869792210000000,47.769101650000003,160.973000000000013,Global,0.013000000000000,0.011000000000000,0.013000000000000,0.017000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.300000000000000,1.500000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,143.863000000000000,,Global CS,12,8,0,false,true,s1
H009,,,,,,16.869394159999999,47.768800400000003,161.007000000000005,Global,0.012000000000000,0.018000000000000,0.011000000000000,0.022000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.300000000000000,1.500000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,145.585000000000008,,Global CS,12,8,0,false,true,s1
H026,,,,,,16.868060820000000,47.767244859999998,161.049000000000007,Global,0.016000000000000,0.013000000000000,0.013000000000000,0.020000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,26,1.200000000000000,1.300000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,289.173999999999978,,Global CS,12,10,0,false,true,s1
H027,,,,,,16.868301420000002,47.767421400000003,161.036000000000001,Global,0.012000000000000,0.016000000000000,0.024000000000000,0.020000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.200000000000000,1.300000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,269.355999999999995,,Global CS,12,0,0,false,false,s1
H030,,,,,,16.868560980000002,47.767619740000001,160.963999999999999,Global,0.013000000000000,0.019000000000000,0.011000000000000,0.023000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,26,1.300000000000000,1.600000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,248.597000000000008,,Global CS,12,9,0,false,true,s1
H041,,,,,,16.869687920000001,47.768934549999997,161.050000000000011,Global,0.010000000000000,0.011000000000000,0.014000000000000,0.014000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,26,1.500000000000000,1.800000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,149.407000000000011,,Global CS,13,8,0,false,false,s1
H045,,,,,,16.868952629999999,47.768144620000001,160.828000000000003,Global,0.012000000000000,0.022000000000000,0.018000000000000,0.025000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,26,1.400000000000000,1.600000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,196.739000000000004,,Global CS,13,9,0,false,false,s1
H046,,,,,,16.868530799999998,47.767896720000003,160.840000000000003,Global,0.009000000000000,0.011000000000000,0.015000000000000,0.015000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.400000000000000,1.600000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,217.681999999999988,,Global CS,13,9,0,false,false,s1
H051,,,,,,16.869610009999999,47.768785180000002,161.060000000000002,Global,0.041000000000000,0.062000000000000,0.081000000000000,0.074000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.100000000000000,1.300000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,157.211999999999989,,Global CS,12,8,0,false,false,s1
H055,,,,,,16.870072810000000,47.769539719999997,161.127999999999986,Global,0.014000000000000,0.011000000000000,0.015000000000000,0.018000000000000,2.086000000000000,m,FIX,2024/10/08,2024/10/08,27,1.400000000000000,1.600000000000000,,,,16.868219669999998,47.769843360000003,163.875000000000000,142.939999999999998,,Global CS,12,9,0,false,false,s1
